open,high,low,close,volume,datetime
199.08,199.39,198.74,198.8988,827988,1749735000000
198.79,198.9671,198.24,198.79,295830,1749735060000
198.89,198.9,198.14,198.46,181262,1749735120000
198.46,199.02,198.25,198.34,202342,1749735180000
198.31,198.4484,197.88,198.04,284954,1749735240000
198.08,198.5992,198.02,198.34,159636,1749735300000
198.3358,198.39,198.0,198.27,129507,1749735360000
198.27,198.29,197.94,198.01,128167,1749735420000
198.03,198.54,197.905,198.47,253307,1749735480000
198.49,198.58,198.28,198.33,146659,1749735540000
198.3,198.57,198.2,198.22,161489,1749735600000
198.225,198.29,198.01,198.225,109965,1749735660000
198.23,198.33,198.14,198.25,104945,1749735720000
198.28,198.28,197.91,197.95,258183,1749735780000
197.9431,198.0,197.7396,197.87,184158,1749735840000
197.87,198.11,197.82,197.9705,163607,1749735900000
197.97,198.06,197.82,197.865,124190,1749735960000
197.88,198.0997,197.84,198.08,69442,1749736020000
198.07,198.26,197.99,198.07,114233,1749736080000
198.07,198.09,197.94,198.01,81916,1749736140000
198.0,198.13,197.9,198.015,123125,1749736200000
198.02,198.18,197.9,198.035,97001,1749736260000
198.02,198.23,197.98,198.04,87284,1749736320000
198.04,198.055,197.905,198.045,66301,1749736380000
198.047,198.24,198.047,198.19,88042,1749736440000
198.19,198.21,197.74,197.76,187240,1749736500000
197.75,197.91,197.74,197.81,75333,1749736560000
197.82,198.03,197.79,197.99,67551,1749736620000
197.985,198.06,197.93,198.0464,63138,1749736680000
198.037,198.11,197.88,197.94,86754,1749736740000
197.94,198.0765,197.885,198.0105,110933,1749736800000
198.02,198.04,197.82,197.823,93415,1749736860000
197.82,197.91,197.59,197.59,154679,1749736920000
197.5799,197.6458,197.495,197.57,131580,1749736980000
197.55,197.75,197.525,197.7,100209,1749737040000
197.71,197.7676,197.6,197.62,82060,1749737100000
197.62,197.64,197.3601,197.5,158341,1749737160000
197.5,198.12,197.5,198.11,191557,1749737220000
198.11,198.34,198.04,198.31,153879,1749737280000
198.29,198.44,198.19,198.2508,138090,1749737340000
198.25,198.39,198.1,198.3475,125630,1749737400000
198.36,198.37,198.1,198.19,78890,1749737460000
198.195,198.31,198.14,198.16,115416,1749737520000
198.1764,198.38,198.17,198.36,98608,1749737580000
198.345,198.43,198.2236,198.26,69735,1749737640000
198.26,198.3852,198.25,198.38,65573,1749737700000
198.39,198.45,198.22,198.38,107100,1749737760000
198.375,198.45,198.26,198.4127,93091,1749737820000
198.43,198.54,198.3,198.33,110191,1749737880000
198.34,198.39,198.275,198.3299,81320,1749737940000
198.32,198.53,198.32,198.4697,62774,1749738000000
198.47,198.53,198.39,198.41,58752,1749738060000
198.41,198.4779,198.16,198.2953,130277,1749738120000
198.2844,198.35,198.16,198.285,55552,1749738180000
198.27,198.29,198.2036,198.28,36189,1749738240000
198.27,198.33,198.22,198.29,54579,1749738300000
198.3,198.3599,198.275,198.3599,39985,1749738360000
198.34,198.41,198.21,198.2177,53903,1749738420000
198.2,198.27,198.15,198.185,79312,1749738480000
198.19,198.2069,197.9601,198.0667,109105,1749738540000
198.08,198.17,198.0,198.15,55950,1749738600000
198.15,198.32,198.1105,198.25,55610,1749738660000
198.27,198.3,198.05,198.08,70278,1749738720000
198.07,198.29,198.06,198.27,56163,1749738780000
198.27,198.37,198.265,198.2899,86541,1749738840000
198.28,198.34,198.155,198.1904,102266,1749738900000
198.1901,198.32,198.18,198.31,63089,1749738960000
198.31,198.49,198.29,198.489,71249,1749739020000
198.4882,198.5088,198.33,198.43,45635,1749739080000
198.42,198.4276,198.31,198.4,47592,1749739140000
198.39,198.43,198.3,198.405,39259,1749739200000
198.415,198.47,198.31,198.36,60548,1749739260000
198.35,198.39,198.295,198.295,50513,1749739320000
198.3,198.36,198.265,198.295,56728,1749739380000
198.3,198.37,198.215,198.33,61648,1749739440000
198.33,198.3955,198.33,198.37,39740,1749739500000
198.38,198.5204,198.37,198.52,45328,1749739560000
198.52,198.58,198.42,198.51,60338,1749739620000
198.52,198.56,198.441,198.45,65524,1749739680000
198.44,198.55,198.4201,198.51,44255,1749739740000
198.52,198.55,198.41,198.5128,53591,1749739800000
198.515,198.56,198.372,198.4704,40408,1749739860000
198.48,198.49,198.22,198.25,54742,1749739920000
198.25,198.42,198.25,198.31,71233,1749739980000
198.31,198.34,198.28,198.31,55750,1749740040000
198.31,198.43,198.31,198.34,48792,1749740100000
198.3329,198.3574,198.28,198.31,49166,1749740160000
198.305,198.353,198.2,198.2,60794,1749740220000
198.21,198.32,198.18,198.21,115994,1749740280000
198.215,198.31,198.19,198.2788,87414,1749740340000
198.26,198.3504,198.2405,198.33,52142,1749740400000
198.33,198.48,198.3,198.45,73472,1749740460000
198.44,198.58,198.36,198.485,106779,1749740520000
198.49,198.56,198.46,198.49,45941,1749740580000
198.5,198.67,198.4804,198.64,75887,1749740640000
198.62,198.6758,198.59,198.66,73468,1749740700000
198.65,198.77,198.635,198.7608,77618,1749740760000
198.76,198.8699,198.73,198.86,93721,1749740820000
198.85,198.89,198.815,198.8452,139733,1749740880000
