Ticker,Avg Div Interval,Est. Frequency,Yield Est (%),EPS,Payout Ratio,Beta,Div History (yrs),5Y Growth Rate (%),Debt/Equity,Sector,Industry,Source,Continuation Prob (%),Last Updated,Label,Ex-Dividend Date,Payout Date
PDI,29.3,monthly,13.71,1.96,1.08,0.0,12.9,1.72,0.0,Financial Services,Asset Management,FMP,68.3,2025-08-08,,"June 12, 25",2025-06-12
PDO,29.6,monthly,11.36,,4.98,,4.2,1.94,,Financial Services,Asset Management,FMP,,,,"June 12, 25",2025-06-12
THQ,30.5,monthly,14.15,4.58,0.41,0.0,10.8,4.45,0.0,Financial Services,Asset Management,FMP,70.1,2025-08-08,,"June 23, 25",2025-06-23
GBAB,30.4,monthly,10.07,,1.58,,14.4,0.5,,Financial Services,Asset Management,FMP,,,,"June 13, 25",2025-06-13
PAXS,29.4,monthly,11.82,,0.9,,3.2,7.94,,Financial Services,Asset Management,FMP,,,,"June 12, 25",2025-06-12
BMEZ,30.4,monthly,14.04,,,,5.2,10.62,,Financial Services,Asset Management,FMP,,,,"June 13, 25",2025-06-13
BSTZ,30.4,monthly,12.1,3.77,0.56,0.0,5.8,14.36,0.0,Financial Services,Asset Management,FMP,72.2,2025-08-08,,"June 13, 25",2025-06-13
BWG,30.3,monthly,11.41,,0.54,,13.3,-2.85,,Financial Services,Asset Management,FMP,,,,"August 22, 25",2025-08-22
GDO,30.4,monthly,12.47,,0.65,,15.6,-0.41,,Financial Services,Asset Management,FMP,,,,"August 22, 25",2025-08-22
OPP,30.4,monthly,13.41,,1.17,,8.6,-1.69,,Financial Services,Asset Management,FMP,,,,"June 13, 25",2025-06-13
PGZ,30.4,monthly,12.05,,0.38,,11.9,-2.09,,Financial Services,Asset Management,FMP,,,,"July 17, 25",2025-07-17
RIV,29.7,monthly,12.45,,,,9.3,-0.98,,Financial Services,Asset Management,FMP,,,,"June 13, 25",2025-06-13
RSF,30.5,monthly,11.04,,0.85,,5.9,-15.24,,Financial Services,Asset Management,FMP,,,,"June 13, 25",2025-06-13
PDCC,30.5,monthly,14.8,,,,0.9,0.0,,Financial Services,Asset Management,FMP,,,,"July 17, 25",2025-07-17
HGLB,30.5,monthly,12.72,1.38,0.6,0.0,6.3,-2.91,0.0,Financial Services,Asset Management,FMP,70.0,2025-08-08,,"June 23, 25",2025-06-23
SQFTP,30.5,monthly,16.87,-0.55,-428.45,1.36,4.0,17.02,256.56,Real Estate,REIT - Diversified,Manual,79.8,2025-07-13,,"June 30, 25",2025-06-30
AOD,30.2,monthly,12.11,,,0.93,18.1,-3.76,1.03,Financial Services,Asset Management,FMP,,,,"June 23, 25",2025-06-23
NPFD,30.4,monthly,10.37,2.71,0.47,0.73,3.3,6.05,59.06,Financial Services,Asset Management,FMP,,2025-07-08,,"June 13, 25",2025-06-13
NRO,30.3,monthly,11.61,,0.29,1.19,21.5,-5.27,33.02,Financial Services,Asset Management,FMP,,,,"June 16, 25",2025-06-16
FINS,30.5,monthly,10.03,,0.83,0.23,5.9,-1.19,40.14,Financial Services,Asset Management,FMP,,,,"June 16, 25",2025-06-16
CHI,30.4,monthly,10.82,,0.47,,22.8,-0.09,58.61,Financial Services,Asset Management,FMP,,,,"June 12, 25",2025-06-12
CIF,30.5,monthly,9.87,0.23,0.76,0.74,36.8,-4.22,44.47,Financial Services,Asset Management,FMP,,2025-07-08,,"June 17, 25",2025-06-17
CHY,30.4,monthly,10.88,,0.47,,21.8,-0.9,58.73,Financial Services,Asset Management,FMP,,,,"June 12, 25",2025-06-12
