Datetime,Ticker,Open,High,Low,Close,Volume
2025-05-21 16:58:00,JNUG,70.2,70.2,70.2,70.2,4.0
2025-05-21 16:58:00,NUGT,68.33,68.33,68.33,68.33,9.0
2025-05-21 16:59:00,GDXU,64.7492,64.7492,64.7492,64.7492,10.0
2025-05-21 17:00:00,GDXU,64.75,64.75,64.75,64.75,458.0
2025-05-21 17:01:00,GDXU,64.75,64.75,64.75,64.75,221.0
2025-05-21 17:01:00,JNUG,70.16,70.16,70.16,70.16,5.0
2025-05-21 17:02:00,GDXU,64.75,64.75,64.7499,64.7499,20.0
2025-05-21 17:02:00,JNUG,70.52,70.53,70.52,70.53,25.0
2025-05-21 17:03:00,GDXU,64.7,64.7486,64.7,64.7486,53.0
2025-05-21 17:03:00,NUGT,68.33,68.33,68.33,68.33,10.0
2025-05-21 17:05:00,GDXU,64.7492,64.76,64.7492,64.76,1361.0
2025-05-21 17:05:00,JNUG,70.59,70.59,70.59,70.59,1.0
2025-05-21 17:06:00,GDXU,64.76,64.76,64.76,64.76,170.0
2025-05-21 17:07:00,GDXU,64.87,64.9,64.8,64.8,329.0
2025-05-21 17:07:00,JNUG,70.16,70.16,70.16,70.16,2.0
2025-05-21 17:07:00,NUGT,68.29,68.29,68.21,68.21,211.0
2025-05-21 17:08:00,NUGT,68.3,68.3,68.3,68.3,7.0
2025-05-21 17:09:00,NUGT,68.2105,68.2105,68.2105,68.2105,50.0
2025-05-21 17:09:00,NVDU,70.44,70.44,70.44,70.44,20.0
2025-05-21 17:10:00,NVDU,70.54,70.54,70.54,70.54,10.0
2025-05-21 17:11:00,NVDU,70.39,70.58,70.39,70.39,11.0
2025-05-21 17:12:00,GDXU,64.9,64.9,64.9,64.9,1.0
2025-05-21 17:12:00,NVDU,70.5,70.51,70.5,70.51,102.0
2025-05-21 17:15:00,GDXU,64.8,64.8,64.8,64.8,1.0
2025-05-21 17:15:00,NVDU,70.5,70.5,70.5,70.5,70.0
2025-05-21 17:16:00,GDXU,64.8,65.0,64.76,65.0,200.0
2025-05-21 17:16:00,NUGT,68.25,68.25,68.21,68.2101,185.0
2025-05-21 17:16:00,NVDU,70.49,70.5,70.49,70.5,48.0
2025-05-21 17:17:00,NUGT,68.32,68.32,68.32,68.32,1.0
2025-05-21 17:17:00,NVDU,70.5,70.5,70.5,70.5,11.0
2025-05-21 17:19:00,JNUG,70.2,70.2,70.2,70.2,34.0
2025-05-21 17:19:00,NUGT,68.32,68.35,68.32,68.35,50.0
2025-05-21 17:20:00,GDXU,65.03,65.93,65.03,65.93,8.0
2025-05-21 17:20:00,NVDU,70.45,70.49,70.45,70.45,106.0
2025-05-21 17:21:00,JNUG,70.11,70.11,70.11,70.11,266.0
2025-05-21 17:22:00,GDXU,65.04,65.07,65.04,65.07,16.0
2025-05-21 17:22:00,NUGT,68.3596,68.3596,68.3596,68.3596,1000.0
2025-05-21 17:23:00,GDXU,65.92,65.92,65.92,65.92,18.0
2025-05-21 17:23:00,JNUG,70.16,70.16,70.16,70.16,5.0
2025-05-21 17:23:00,NVDU,70.45,70.45,70.45,70.45,1.0
2025-05-21 17:24:00,GDXU,64.77,65.03,64.77,65.03,229.0
2025-05-21 17:24:00,NVDU,70.45,70.49,70.45,70.49,190.0
2025-05-21 17:25:00,GDXU,65.92,65.92,65.92,65.92,2.0
2025-05-21 17:25:00,NUGT,68.33,68.33,68.33,68.33,25.0
2025-05-21 17:25:00,NVDU,70.45,70.5,70.44,70.5,7.0
2025-05-21 17:26:00,NVDU,70.44,70.44,70.44,70.44,927.0
2025-05-21 17:28:00,GDXU,65.13,65.13,64.78,64.78,225.0
2025-05-21 17:28:00,NUGT,68.21,68.33,68.21,68.33,119.0
2025-05-21 17:28:00,NVDU,70.45,70.45,70.45,70.45,2.0
2025-05-21 17:29:00,NUGT,68.21,68.21,68.21,68.21,111.0
2025-05-21 17:29:00,NVDU,70.5696,70.5696,70.55,70.55,7.0
2025-05-21 17:32:00,GDXU,65.13,65.13,64.78,64.78,14.0
2025-05-21 17:32:00,JNUG,70.22,70.22,70.22,70.22,1.0
2025-05-21 17:32:00,NUGT,68.2106,68.2106,68.2106,68.2106,2.0
2025-05-21 17:33:00,NUGT,68.3,68.36,68.3,68.3599,399.0
2025-05-21 17:33:00,NVDU,70.44,70.44,70.44,70.44,300.0
2025-05-21 17:34:00,JNUG,70.5,70.5,70.5,70.5,100.0
2025-05-21 17:35:00,GDXU,64.81,64.81,64.81,64.81,75.0
2025-05-21 17:35:00,NUGT,68.33,68.33,68.33,68.33,10.0
2025-05-21 17:36:00,NVDU,70.5,70.5,70.5,70.5,50.0
2025-05-21 17:37:00,GDXU,65.13,65.5,65.13,65.5,1000.0
2025-05-21 17:37:00,NUGT,68.21,68.21,68.21,68.21,3.0
2025-05-21 17:37:00,NVDU,70.55,70.55,70.55,70.55,1.0
2025-05-21 17:38:00,GDXU,65.29,65.5,65.29,65.5,165.0
2025-05-21 17:38:00,NVDU,70.51,70.52,70.44,70.44,21.0
2025-05-21 17:39:00,GDXU,65.5,65.5,65.29,65.29,1015.0
2025-05-21 17:39:00,NUGT,68.3592,68.3592,68.3592,68.3592,100.0
2025-05-21 17:39:00,NVDU,70.44,70.44,70.44,70.44,149.0
2025-05-21 17:40:00,GDXU,64.79,64.79,64.79,64.79,2.0
2025-05-21 17:40:00,NUGT,68.33,68.33,68.33,68.33,15.0
2025-05-21 17:40:00,NVDU,70.43,70.4301,70.43,70.4301,175.0
2025-05-21 17:41:00,GDXU,65.5,65.9599,65.5,65.9599,47.0
2025-05-21 17:41:00,NVDU,70.5,70.5,70.5,70.5,150.0
2025-05-21 17:42:00,NVDU,70.43,70.57,70.43,70.51,641.0
