Ticker,bid,ask,bidSize,askSize,prevClose,change,changePercent,marketCap,averageVolume10day,week52High,week52Low,week52HiDate,week52LowDate
SOXL,43.12,43.17,200,10800,46.83,-3.82,-8.16,12264301500.0,72393148,50.76,7.22,2025-10-29 17:19:10,2025-04-07 17:19:10
TQQQ,107.46,107.49,1000,1100,113.24,-6.35,-5.61,27807433500.0,52549084,121.37,35.0,2025-10-29 17:19:11,2025-04-07 17:19:11
SDOW,34.6,34.88,100,100,33.94,0.84,2.47,219009660.0,3808331,75.95,32.34,2025-04-07 17:19:11,2025-10-29 17:19:11
UPRO,112.4,112.5,700,100,115.46,-3.7,-3.2,4766564000.0,4852333,122.19,45.88,2025-10-29 17:19:12,2025-04-07 17:19:12
AMD,238.07,238.2,100,600,256.33,-18.63,-7.27,385749781100.0,52317775,267.08,76.48,2025-10-29 17:19:12,2025-04-08 17:19:12
