
FSK,FS KKR CAPITAL CORP,20.57,0,0.00%,937,20.57,20.68,0,0,1.9,"5,761 M",23.44%
BRSP,BRIGHTSPIRE CAP INC A,5.12,0,0.00%,381,5.12,5.2,0,0,-0.56,668 M,36.83%
LFT,LUMENT FIN TR INC,2.46,0,0.00%,"1,182",2.49,2.69,0,0,0.2,129 M,N/A
NYMT,NEW YORK MTG TR INC,6.72,0,0.00%,339,6.72,6.78,0,0,-0.06,607 M,31.46%
EHI,WESTERN ASST GLBAL HIGH INCOME CF,6.44,0,0.00%,2,6.41,6.53,0,0,0.9143,195 M,N/A
TXO,TXO PARTNERS LP,15.87,0,0.00%,N/A,16,16.75,0,0,0.38,869 M,43.19%
SPMC,SOUND PT MERIDIAN CA,17.1,0,0.00%,N/A,16.92,17.3,0,0,0.866,0,N/A
JQC,NUVEEN CREDIT STRATEGIES INCOME CF,5.28,0,0.00%,2,5.27,5.38,0,0,0.5946,723 M,N/A
PTALF,PETROTAL CORP,0.511,0,0.00%,N/A,0.5059,0.513,0,0,0.1,468 M,N/A
AVK,ADVENT CLAYMORE CONV SECUR INCOM CF,11.65,0,0.00%,1,11.5,11.95,0,0,2.72,514 M,N/A
DX,DYNEX CAP INC REIT,12.21,0,0.00%,"11,286",12.28,12.32,0,0,0.79,"1,308 M",18.91%
REFI,CHICAGO ATLANTIC REA,14.25,0,0.00%,10,14.2,14.7,0,0,1.88,299 M,46.65%
MRCC,MONROE CAP CORP,6.38,0,0.00%,N/A,6.36,6.4,0,0,0.33,138 M,71.90%
DMO,WESTERN ASSET MORTGAGE OP CF,11.98,0,0.00%,N/A,11.98,12,0,0,1.51,136 M,N/A
GCV,GABELLI CONVERTBLE & INCM SECURTY CF,3.74,0,0.00%,N/A,3.6,3.85,0,0,0.3,74 M,N/A
FRCIL,FIRST REPUBLIC BANK 5.5% PFD Callable,0.0002,0,0.00%,2,0.006,0.0118,0,0,N/A,0,N/A
CIG,COMPANHIA ENERGETICA ADR,1.95,0,0.00%,"1,405",1.91,1.96,0,0,0.4253,"5,578 M",20.30%
NLY,ANNALY CAP MGMT INC REIT,19.18,0,0.00%,"3,606",19.23,19.25,0,0,0.92,"11,606 M",28.86%
FLNG,FLEX LNG LTD,24.4,0,0.00%,266,24.06,24.64,0,0,1.91,"1,320 M",28.39%
NREF,NEXPOINT REAL ESTATE,13.66,0,0.00%,1,13.58,14.03,0,0,2.55,242 M,33.03%
NHS,NEUBERGER BERMAN HGH YLD STRATGS CF,7.56,0,0.00%,N/A,7.48,7.71,0,0,1.44,230 M,N/A
OCSL,OAKTREE SPECIALTY LE,13.79,0,0.00%,"3,046",13.79,13.86,0,0,0.12,"1,215 M",53.37%
PNNT,PENNANTPARK INVT COR,6.73,0,0.00%,"3,003",6.66,6.8,0,0,0.73,439 M,N/A
SVNLY,SVENSKA HANDELSBANKE ADR,6.51,0,0.00%,N/A,6.41,6.66,0,0,0.6851,"25,780 M",N/A
AOMR,ANGEL OAK MORTGAGE R,9.07,0,0.00%,11,9.13,9.23,0,0,1.53,213 M,N/A
BDN,BRANDYWINE RLTY TR REIT,4.39,0,0.00%,378,4.31,4.45,0,0,-1.2,759 M,41.13%
TRIN,TRINITY CAP INC,14.3,0,0.00%,"3,397",14.35,14.4,0,0,2.23,925 M,31.80%
TWO,TWO HARBORS INVESTME,10.74,0,0.00%,"27,470",10.52,10.65,0,0,-0.33,"1,117 M",41.64%
ABR,ARBOR RLTY TR INC REIT,10.23,0,0.00%,"6,890",10.25,10.3,0,0,1.03,"1,966 M",51.14%
GNL,GLOBAL NET LEASE INC,7.33,0,0.00%,25,7.25,7.48,0,0,-1.48,"1,636 M",24.52%
MFA,MFA FINL INC REIT,9.45,0,0.00%,"6,556",9.43,9.55,0,0,0.99,970 M,29.86%
CION,CION INVT CORP,9.23,0,0.00%,7,9.24,9.28,0,0,-0.29,485 M,31.96%
GECC,GREAT ELM CAP CORP,10.59,0,0.00%,190,9.63,10.66,0,0,0.45,122 M,N/A
IIPR,INNOVATIVE INDL PPTY REIT,57.89,0,0.00%,887,57.9,59,0,0,5.19,"1,622 M",42.50%
KEN,KENON HLDGS LTD,37.02,0,0.00%,17,37.05,39,0,0,11.41,"1,931 M",35.50%
GSBD,GOLDMAN SACHS BDC IN,11.56,0,0.00%,598,11.57,11.64,0,0,0.43,"1,356 M",29.12%
FCO,ABRDN GLOBAL INCOME CF,6.35,0,0.00%,30,6.3,6.42,0,0,0.65,85 M,N/A
HQH,ABRDN HLTHCR INV,15.4,0,0.00%,N/A,15.4,16.48,0,0,0.13,829 M,N/A
IFN,INDIA CF,16.01,0,0.00%,350,15.55,16.1,0,0,3.17,639 M,N/A
OFS,OFS CAP CORP,9.1,0,0.00%,693,8.23,8.82,0,0,2.25,122 M,39.90%
RWAY,RUNWAY GROWTH FIN CO,10.33,0,0.00%,74,10.19,10.49,0,0,1.64,386 M,20.86%
DNKEY,DEN DANSKE BANK AKTI ADR,19.68,0,0.00%,N/A,19.75,19.85,0,0,2.045,"32,500 M",N/A
ECTM,ECA MARCELLUS TR I Royalty Trust,0.6789,0,0.00%,N/A,0.6602,0.6789,0,0,0.076,12 M,N/A
FNCSF,NORTH AMERN FINL 15,4.84,0,0.00%,N/A,3.83,4.95,0,0,4.052,281 M,N/A
ICMB,INVESTCORP CR MGMT B Equity,2.82,0,0.00%,479,2.77,2.78,0,0,0.3,41 M,88.12%
IGR,CBRE GLOBAL REAL ESTATE INCOME CF,5.14,0,0.00%,498,5.08,5.19,0,0,-0.38,727 M,N/A
AGNC,AGNC INVT CORP REIT,9.26,0,0.00%,"64,296",9.29,9.3,0,0,0.36,"9,449 M",28.00%
SACH,SACHEM CAP CORP,1.1,0,0.00%,176,1.09,1.1,0,0,-1.01,52 M,98.55%
NXDT,NEXPOINT DIVERSIFIED,3.92,0,0.00%,7,3.79,4.09,0,0,-1.49,180 M,72.46%
PSEC,PROSPECT CAP CORP,3.18,0,0.00%,"16,913",3.18,3.19,0,0,-0.86,"1,436 M",41.14%
ATVDY,ATRESMEDIA CORPORACI ADR,6.61,0,0.00%,N/A,5.5,6.46,0,0,0.5546,"1,488 M",N/A
NHTC,NATURAL HEALTH TREND,4.58,0,0.00%,N/A,4.53,4.7,0,0,0.04,53 M,34.95%
TCPC,BLACKROCK TCP CAP CO,7.51,0,0.00%,17,7.4,7.6,0,0,-0.62,639 M,24.06%
WHF,WHITEHORSE FIN INC,8.83,0,0.00%,66,8.85,8.99,0,0,0.39,205 M,100.95%
EIC,EAGLE POINT INCOME COMPANY NAV CF,13.38,0,0.00%,20,13.26,13.45,0,0,2.81,340 M,N/A
OXSQ,OXFORD SQUARE CAP CO,2.22,0,0.00%,378,2.21,2.23,0,0,0,158 M,34.45%
PTMN,PORTMAN RIDGE FIN CO,12.43,0,0.00%,48,12.5,13,0,0,-1.13,114 M,45.06%
ARR,ARMOUR RESIDENTIAL R,16.57,0,0.00%,"3,058",16.53,16.62,0,0,-0.43,"1,355 M",24.35%
DDWWF,DIVIDEND GROWTH SPLI,5.002729,0,0.00%,N/A,2.63,5.73,0,0,0.9491,216 M,N/A
EARN,ELLINGTON CREDIT CO,5.71,0,0.00%,116,5.67,5.78,0,0,0.28,214 M,++
UNTC,UNIT CORP EQUITY Equity,27.01,0,0.00%,N/A,27,27.91,0,0,4.94,266 M,N/A
MNR,MACH NATURAL RESOURC,15.36,0,0.00%,266,14.87,15.6,0,0,1.6,"1,818 M",N/A
RC,READY CAP CORP REIT,4.53,0,0.00%,554,4.37,4.59,0,0,-1.73,772 M,46.95%
CHMI,CHERRY HILL MTG INVT REIT,2.92,0,0.00%,511,2.9,2.94,0,0,-0.54,95 M,46.49%
VOC,VOC ENERGY TR Royalty Trust,2.94,0,0.00%,71,2.9,2.98,0,0,0.625,50 M,++
ACP,ABRDN INCOME CREDIT STRATEGIES CF,5.88,0,0.00%,"3,008",5.88,5.91,0,0,1.24,738 M,N/A
TPVG,TRIPLEPOINT VENTURE,6.73,0,0.00%,"3,473",6.73,6.9,0,0,0.93,271 M,90.58%
ORC,ORCHID IS CAP INC,7.05,0,0.00%,"25,942",7.07,7.08,0,0,0.37,855 M,31.60%
CHKR,CHESAPEAKE GRANITE W Royalty Trust,0.435,0,0.00%,"5,000",0.401,0.448,0,0,0.0937,20 M,N/A
ACRE,ARES COML REAL ESTAT REIT,4.83,0,0.00%,11,4.8,4.91,0,0,-0.24,266 M,36.01%
IVR,INVESCO MTG CAP INC REIT,7.62,0,0.00%,"3,512",7.63,7.65,0,0,0.42,502 M,37.48%
GGT,GABELLI MULTIMEDIA CF,3.9,0,0.00%,5,3.84,3.95,0,0,0.52,130 M,N/A
OCCI,OFS CREDIT COMPANY ORD,6.28,0,0.00%,"4,927",6.14,6.25,0,0,0.14,163 M,N/A
ECC,EAGLE POINT CREDIT CF,7.53,0,0.00%,"4,299",7.5,7.55,0,0,0.86,905 M,N/A
MRRTY,MARFRIG GLOBAL FOODS ADR,4.4,0,0.00%,N/A,4.08,4.93,0,0,0.5474,"3,673 M",N/A
CUBA,HERZFELD CARIBBEAN BASIN CF,2.49,0,0.00%,N/A,2.4,2.69,0,0,0.19,39 M,N/A
OXLC,OXFORD LANE CAPITAL ORD,4.11,0,0.00%,"58,175",4.09,4.1,0,0,0.3,"1,979 M",N/A
MVO,MV OIL TR Royalty Trust,5.96,0,0.00%,"2,712",5.83,6.19,0,0,1.31,69 M,88.65%
MKZR,MACKENZIE RLTY CAP I,0.66,0,0.00%,651,0.66,0.71,0,0,-1.72,10 M,N/A
AFCG,ADVANCED FLOWER CAP,4.59,0,0.00%,198,4.36,4.58,0,0,0.97,104 M,59.86%
FOJCY,FORTUM OYJ ADR,3.595,0,0.00%,N/A,3.54,3.74,0,0,0.2533,"16,128 M",N/A
