Datetime,Ticker,Open,High,Low,Close,Volume
2025-06-13 07:00:00,AAPL,198.61,198.62,198.5,198.57,7130
2025-06-13 07:01:00,AAPL,198.61,198.89,198.61,198.8,11741
2025-06-13 07:02:00,AAPL,198.8,199.07,198.8,199.02,14134
2025-06-13 07:03:00,AAPL,199.1,199.12,198.61,198.61,8266
2025-06-13 07:04:00,AAPL,198.79,199.1,198.79,199.01,3059
2025-06-13 07:05:00,AAPL,199.0,199.04,198.95,199.04,892
2025-06-13 07:06:00,AAPL,199.04,199.1,199.0,199.08,3294
2025-06-13 07:07:00,AAPL,199.1,199.1,199.1,199.1,264
2025-06-13 07:08:00,AAPL,199.0,199.0,199.0,199.0,100
2025-06-13 07:10:00,AAPL,198.9,199.02,198.85,199.02,3011
2025-06-13 07:11:00,AAPL,198.98,198.98,198.74,198.74,1230
2025-06-13 07:12:00,AAPL,198.73,198.8,198.57,198.63,2134
2025-06-13 07:13:00,AAPL,198.63,198.71,198.5,198.5,3666
2025-06-13 07:14:00,AAPL,198.54,198.67,198.54,198.67,904
2025-06-13 07:15:00,AAPL,198.66,198.66,198.66,198.66,195
2025-06-13 07:16:00,AAPL,198.64,198.64,198.61,198.61,1192
2025-06-13 07:17:00,AAPL,198.6,198.6,198.41,198.58,2090
2025-06-13 07:18:00,AAPL,198.55,198.55,198.52,198.52,540
2025-06-13 07:19:00,AAPL,198.61,198.88,198.61,198.88,2010
2025-06-13 07:22:00,AAPL,198.65,198.65,198.65,198.65,100
2025-06-13 07:23:00,AAPL,198.65,198.68,198.65,198.68,382
2025-06-13 07:24:00,AAPL,198.64,198.64,198.64,198.64,200
2025-06-13 07:25:00,AAPL,198.65,198.65,198.64,198.65,330
2025-06-13 07:26:00,AAPL,198.62,198.64,198.62,198.64,300
2025-06-13 07:27:00,AAPL,198.68,198.68,198.68,198.68,258
2025-06-13 07:28:00,AAPL,198.69,198.86,198.69,198.77,3729
2025-06-13 07:29:00,AAPL,198.79,198.79,198.79,198.79,100
2025-06-13 07:30:00,AAPL,198.77,198.77,198.77,198.77,104
2025-06-13 07:31:00,AAPL,198.82,198.85,198.82,198.85,490
2025-06-13 07:32:00,AAPL,198.89,198.89,198.89,198.89,200
2025-06-13 07:33:00,AAPL,198.85,199.04,198.85,199.04,5613
2025-06-13 07:34:00,AAPL,199.15,199.189,199.15,199.189,550
2025-06-13 07:35:00,AAPL,199.19,199.5,199.19,199.5,11206
2025-06-13 07:36:00,AAPL,199.5,199.52,199.5,199.5,4104
2025-06-13 07:37:00,AAPL,199.52,199.61,199.5,199.6,3364
2025-06-13 07:38:00,AAPL,199.5,199.5,199.43,199.5,2360
2025-06-13 07:39:00,AAPL,199.52,199.52,199.5,199.52,3316
2025-06-13 07:40:00,AAPL,199.52,199.6,199.52,199.54,1818
2025-06-13 07:41:00,AAPL,199.54,199.54,199.49,199.49,1667
2025-06-13 07:42:00,AAPL,199.53,199.55,199.48,199.55,969
2025-06-13 07:43:00,AAPL,199.54,199.66,199.44,199.66,7250
2025-06-13 07:44:00,AAPL,199.68,199.75,199.6,199.6,2366
2025-06-13 07:45:00,AAPL,199.55,199.55,199.54,199.55,1098
2025-06-13 07:46:00,AAPL,199.54,199.55,199.53,199.54,1200
2025-06-13 07:47:00,AAPL,199.43,199.55,199.43,199.55,1335
2025-06-13 07:48:00,AAPL,199.55,199.63,199.55,199.63,1745
2025-06-13 07:49:00,AAPL,199.66,199.75,199.66,199.7,6069
2025-06-13 07:50:00,AAPL,199.7,199.7,199.5,199.56,20203
2025-06-13 07:51:00,AAPL,199.55,199.55,199.55,199.55,655
2025-06-13 07:52:00,AAPL,199.56,199.65,199.55,199.65,1588
2025-06-13 07:53:00,AAPL,199.66,199.66,199.55,199.55,1240
2025-06-13 07:54:00,AAPL,199.55,199.61,199.51,199.61,2641
2025-06-13 07:55:00,AAPL,199.61,199.61,199.61,199.61,229
2025-06-13 07:56:00,AAPL,199.54,199.55,199.51,199.55,5390
2025-06-13 07:57:00,AAPL,199.53,199.63,199.53,199.63,4193
2025-06-13 07:58:00,AAPL,199.55,199.55,199.54,199.54,1330
2025-06-13 07:59:00,AAPL,199.54,199.55,199.52,199.54,1722
2025-06-13 08:00:00,AAPL,199.55,199.5681,199.51,199.5299,4807
2025-06-13 08:01:00,AAPL,199.51,199.53,198.702,199.39,19308
2025-06-13 08:02:00,AAPL,199.3079,199.4,199.3079,199.39,925
2025-06-13 08:03:00,AAPL,199.31,199.38,199.31,199.3418,1400
2025-06-13 08:04:00,AAPL,199.35,199.41,199.35,199.4,4345
2025-06-13 08:05:00,AAPL,199.32,199.33,199.3,199.3,913
2025-06-13 08:06:00,AAPL,199.28,199.32,199.1001,199.16,8281
2025-06-13 08:07:00,AAPL,199.16,199.2,199.11,199.2,5820
2025-06-13 08:08:00,AAPL,199.1204,199.1204,199.1,199.1,1156
2025-06-13 08:09:00,AAPL,199.16,199.17,199.07,199.17,7770
2025-06-13 08:10:00,AAPL,199.07,199.1467,199.0008,199.1467,3050
2025-06-13 08:11:00,AAPL,199.0864,199.0864,199.0,199.0,1642
2025-06-13 08:12:00,AAPL,199.09,199.14,199.03,199.1,3459
2025-06-13 08:13:00,AAPL,199.14,199.38,199.12,199.2,6140
2025-06-13 08:14:00,AAPL,199.22,199.25,199.03,199.03,4131
2025-06-13 08:15:00,AAPL,199.03,199.2,199.0,199.15,4753
2025-06-13 08:16:00,AAPL,199.12,199.17,199.1,199.17,1487
