Datetime,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2025-06-04 13:30:00+00:00,463.2362976074219,464.5,463.0899963378906,464.0,695589
2025-06-04 13:35:00+00:00,464.0050048828125,464.3699951171875,463.0201110839844,463.32000732421875,347967
2025-06-04 13:40:00+00:00,464.0400085449219,464.0784912109375,463.32000732421875,464.010009765625,189991
2025-06-04 13:45:00+00:00,464.7900085449219,465.1199951171875,463.8200988769531,464.0400085449219,440671
2025-06-04 13:50:00+00:00,464.739990234375,464.8949890136719,464.3299865722656,464.7650146484375,212200
2025-06-04 13:55:00+00:00,465.5899963378906,465.6400146484375,464.6650085449219,464.7200012207031,186619
2025-06-04 14:00:00+00:00,465.3800048828125,465.5899963378906,464.4599914550781,465.3999938964844,306782
2025-06-04 14:05:00+00:00,464.9999084472656,465.5299987792969,464.44000244140625,465.4200134277344,200749
2025-06-04 14:10:00+00:00,465.0,465.30999755859375,464.760009765625,465.0,181077
2025-06-04 14:15:00+00:00,464.79998779296875,465.3399963378906,464.6000061035156,464.95001220703125,157143
2025-06-04 14:20:00+00:00,464.3800048828125,465.07501220703125,464.3775939941406,464.8550109863281,134234
2025-06-04 14:25:00+00:00,464.92010498046875,465.1000061035156,464.3241882324219,464.489990234375,154716
2025-06-04 14:30:00+00:00,464.69000244140625,465.0398864746094,464.6000061035156,464.9200134277344,107599
2025-06-04 14:35:00+00:00,464.5199890136719,464.8699951171875,464.3399963378906,464.7200012207031,146006
2025-06-04 14:40:00+00:00,464.1600036621094,464.6199951171875,464.0299987792969,464.4750061035156,142511
2025-06-04 14:45:00+00:00,464.0249938964844,464.2300109863281,463.7699890136719,464.17999267578125,177741
2025-06-04 14:50:00+00:00,464.0150146484375,464.05999755859375,463.79998779296875,464.0249938964844,96103
2025-06-04 14:55:00+00:00,464.7691955566406,464.92999267578125,464.04998779296875,464.04998779296875,171397
2025-06-04 15:00:00+00:00,465.0050048828125,465.1300048828125,464.610107421875,464.8699951171875,130015
2025-06-04 15:05:00+00:00,464.9804992675781,465.0799865722656,464.82000732421875,465.010009765625,115520
2025-06-04 15:10:00+00:00,465.05999755859375,465.07000732421875,464.7099914550781,464.9200134277344,101030
2025-06-04 15:15:00+00:00,464.99969482421875,465.1199951171875,464.7699890136719,465.06939697265625,128956
2025-06-04 15:20:00+00:00,464.9601135253906,465.1199951171875,464.8599853515625,464.94000244140625,99706
2025-06-04 15:25:00+00:00,464.63189697265625,465.1499938964844,464.6099853515625,465.0415954589844,96772
2025-06-04 15:30:00+00:00,464.6724853515625,464.8699951171875,464.3900146484375,464.6600036621094,70648
2025-06-04 15:35:00+00:00,464.6650085449219,464.79998779296875,464.54998779296875,464.69500732421875,56395
2025-06-04 15:40:00+00:00,464.7149963378906,465.0,464.6099853515625,464.6600036621094,80162
2025-06-04 15:45:00+00:00,464.8399963378906,465.04998779296875,464.6585998535156,464.7200012207031,72504
2025-06-04 15:50:00+00:00,464.66180419921875,465.0899963378906,464.66180419921875,464.8699951171875,93079
2025-06-04 15:55:00+00:00,464.7650146484375,464.8450012207031,464.5799865722656,464.69000244140625,68469
2025-06-04 16:00:00+00:00,464.57000732421875,464.8999938964844,464.4849853515625,464.7300109863281,104689
2025-06-04 16:05:00+00:00,464.29998779296875,464.6000061035156,464.239990234375,464.5199890136719,90577
2025-06-04 16:10:00+00:00,464.1099853515625,464.4314880371094,464.0299987792969,464.2650146484375,58544
2025-06-04 16:15:00+00:00,464.2799987792969,464.510009765625,464.0299987792969,464.1099853515625,98361
2025-06-04 16:20:00+00:00,464.1000061035156,464.2650146484375,463.82000732421875,464.2650146484375,86915
