Account,Value,Date
E*TRADE IRA,219603.0,2025-04-06
E*TRADE Taxable,56557.0,2025-04-06
TOTAL,408679.0,2025-04-06
Schwab IRA,49951.53,2025-04-06
401K,132519.0,2025-04-06
401k Retirement (Manual),132519.0,2025-04-06
