Account,Value,Date
E*TRADE IRA,277913.0,2025-02-09
E*TRADE Taxable,64369.0,2025-02-09
TOTAL,508991.0,2025-02-09
Schwab IRA,49951.53,2025-02-09
401K,166709.0,2025-02-09
401k Retirement (Manual),166709.0,2025-02-09
