Account,Value,Date
E*TRADE IRA,243756.0,2025-03-30
E*TRADE Taxable,60483.0,2025-03-30
TOTAL,451642.0,2025-03-30
Schwab IRA,49951.53,2025-03-30
401K,147403.0,2025-03-30
401k Retirement (Manual),147403.0,2025-03-30
