Account,Value,Date
E*TRADE IRA,262824.0,2025-06-15
E*TRADE Taxable,61572.0,2025-06-15
TOTAL,486509.0,2025-06-15
Schwab IRA,50145.0,2025-06-15
401K,162113.0,2025-06-15
401k Retirement (Manual),162113.0,2025-06-15
