Account,Value,Date
E*TRADE IRA,264617.0,2025-06-08
E*TRADE Taxable,60286.0,2025-06-08
TOTAL,488561.0,2025-06-08
Schwab IRA,49951.53,2025-06-08
401K,163658.0,2025-06-08
401k Retirement (Manual),163658.0,2025-06-08
