Account,Value,Date
E*TRADE IRA,256772.0,2025-01-12
E*TRADE Taxable,63204.0,2025-01-12
TOTAL,482041.0,2025-01-12
Schwab IRA,49951.53,2025-01-12
401K,162065.0,2025-01-12
401k Retirement (Manual),162065.0,2025-01-12
