Account,Value,Date
E*TRADE IRA,253461.0,2025-06-01
E*TRADE Taxable,59465.0,2025-06-01
TOTAL,472582.0,2025-06-01
Schwab IRA,49951.53,2025-06-01
401K,159656.0,2025-06-01
401k Retirement (Manual),159656.0,2025-06-01
