Account,Value,Date
E*TRADE IRA,269937.0,2025-02-02
E*TRADE Taxable,63995.0,2025-02-02
TOTAL,500881.0,2025-02-02
Schwab IRA,49951.53,2025-02-02
401K,166949.0,2025-02-02
401k Retirement (Manual),166949.0,2025-02-02
