year,month,Est. Income $,account_type,week_captured
2025,Total,0,ETRADE_IRA,2025-07-26
2025,Total,0,ETRADE_Taxable,2025-07-26
2025,Total,0,Schwab_Individual,2025-07-26
2025,Total,0,Schwab_IRA,2025-07-26
