Ticker,Yield Est (%),EPS,Payout Ratio,Beta,Div History (yrs),5Y Growth Rate (%),Debt/Equity,Sector,Industry
NXDT,46.27,,-0.2,0.83,18.7,0.0,43.4,Real Estate,REIT - Diversified
ARR,17.54,-0.28,-11.32,1.35,15.3,-3.28,737.28,Real Estate,REIT - Mortgage
ACP,16.15,1.27,1.08,0.86,14.2,-3.58,27.91,Financial Services,Asset Management
ORC,20.57,0.58,2.46,1.5,12.3,-0.95,749.95,Real Estate,REIT - Mortgage
ECC,22.46,0.86,1.97,0.43,10.7,-12.0,37.97,Financial Services,Asset Management
ECAT,22.66,2.37,1.2,N/A,3.5,36.43,N/A,N/A,N/A
XFLT,15.14,,1.0,N/A,7.6,0.19,N/A,Financial Services,Asset Management
BCAT,22.42,1.83,1.45,N/A,4.5,24.44,N/A,N/A,N/A
CCIF,21.0,,2.65,N/A,8.6,13.63,N/A,Financial Services,Asset Management
